user_id,movie_id,rating
0,7969,6
0,9357,6
0,5510,7
0,4533,5
0,1540,7
0,1029,9
0,3918,6
0,3831,8
0,2818,9
0,343,7
1,5387,5
1,5813,7
1,2294,7
1,529,9
1,6467,8
1,3530,7
1,4862,7
1,1013,8
1,8297,8
1,2176,9
1,3668,6
1,2049,9
1,9545,5
1,3468,8
1,9570,4
1,7038,6
2,2266,6
2,5743,6
2,523,6
2,3662,7
2,5984,8
2,6278,6
2,7871,5
2,2771,9
2,2164,7
2,5190,7
2,9332,7
2,752,8
2,5223,8
2,9511,7
2,8848,7
2,2304,7
2,2444,8
2,3727,8
2,9633,4
2,5912,6
3,5617,6
3,8802,7
3,7924,6
3,1389,8
3,3135,8
3,8701,5
3,2534,9
3,5265,8
3,949,7
3,553,9
3,6302,8
3,2438,9
3,3122,9
3,7555,6
3,9337,4
3,3589,8
3,3004,6
3,915,8
3,5600,7
4,6685,8
4,6849,7
4,6470,7
4,9789,6
4,3634,8
4,2053,6
4,2684,6
4,2383,9
4,998,8
4,865,9
4,1749,7
4,9097,7
5,8010,7
5,6704,5
5,7219,6
5,4523,5
5,1464,8
5,8854,5
5,4066,6
5,400,9
5,8938,5
5,8673,6
5,3662,6
5,5522,7
6,429,6
6,7201,8
6,3514,8
6,279,8
6,5656,5
6,3959,6
6,2507,8
6,9036,7
6,8154,6
6,5191,5
6,7952,7
6,6195,7
6,239,9
6,2002,8
7,4392,6
7,8702,6
7,5965,7
7,3275,9
7,9968,6
7,1192,7
7,6033,8
7,6622,7
7,9400,4
7,8251,7
7,5491,8
7,1415,9
7,5877,8
7,8094,8
7,2487,7
7,3734,6
8,3096,7
8,7651,5
8,4479,8
8,6838,7
8,5824,6
8,150,7
8,2831,7
8,8710,5
8,7348,7
8,4715,5
8,5206,8
9,6447,5
9,3457,6
9,3199,6
9,5037,8
9,7500,7
9,3275,7
9,6938,7
9,4521,7
9,4545,5
9,919,9
9,2800,8
9,3633,6
9,9058,4
9,8432,6
9,7399,5
9,2208,8
10,1303,7
10,7982,7
10,2457,6
10,7303,6
10,5698,7
10,7261,8
10,3523,8
10,3569,7
10,7847,8
10,8541,6
11,9409,7
11,2822,7
